,id,hashtag_id,tweet,tweet_id,tb_preproc,compound,polarity,subjectivity,links,hashtags,pos,neg,neu,mentions,nouns,clean_tweet,abuse_prediction
0,2498,8,    Giveaway Alert     Ready to upgrade your drawing  amp  writing experience on your iPad  Maybe you know an  ipad user who need ,1.33e+18,,0.5719,0.2,0.5,,,,,,,"['giveaway alert ready', 'drawing amp', 'ipad user']",,no
1,2499,8,Create beautiful  lettering on your  iPhone    artwork  illlustration  calligraphie  howtodraw   planner  tutorial  journal  bujo  calligraphy  iPhone12  watercolor  painting  drawing  sketch  watercolour  instagram  sketchbook  ipadpro  ipadpro  ipad  ipad ,1.33e+18,,0.7184,0.85,1.0,,,,,,,"['create', 'iphone artwork illlustration calligraphie howtodraw planner tutorial journal bujo calligraphy iphone12 watercolor painting drawing sketch watercolour instagram sketchbook ipadpro ipadpro ipad ipad']",,no
2,2500,8, New Video  How To Use Noise Gate In Cubasis 3   Premieres  LIVE Dec 2nd   8 00am PT   11 00am ET    ipad  musicproducer  musicproducers  musicproduction  ipadmusic  mobilemusic  producer  producers  ios  cubasis  ,1.33e+18,,0.0,0.0909090909090909,0.3181818181818182,,,,,,,"['video', 'noise', 'cubasis', 'premieres live dec', 'pt', 'et', 'ipad musicproducer musicproducers musicproduction ipadmusic mobilemusic producer producers ios cubasis']",,no
3,2501,8,    Giveaway Alert     Ready to upgrade your drawing  amp  writing experience on your iPad  Maybe you know an  ipad user who need ,1.33e+18,,0.5719,0.2,0.5,,,,,,,"['giveaway alert ready', 'drawing amp', 'ipad user']",,no
4,2502,8,Draw365 no  038  draw365  art  digitalart  illustration  draw  drawing  ipad  adobe    ,1.33e+18,,-0.296,0.0,0.0,,,,,,,"['draw365', 'draw365 art digitalart illustration', 'drawing ipad adobe']",,no
5,2503,8, New 11  64GB WiFi Cell  Apple  iPad Pros for  899 at  Amazon   50 off  free ship  ,1.33e+18,,0.6124,0.2681818181818182,0.6272727272727273,,,,,,,"['wifi cell apple', 'pros', 'amazon', 'free ship']",,no
6,2504,8,FREE ebook  Action  intrigue  sex  medieval  gay MCs     Kindle  Kobo  Nook  Tolino  iPad  adventure  gayfantasy  historical  fantasy,1.33e+18,,0.7456,0.18333333333333335,0.2966666666666667,,,,,,,"['free', 'ebook action intrigue sex medieval', 'mcs kindle kobo nook tolino', 'ipad adventure gayfantasy', 'historical fantasy']",,no
7,2505,8,New 11  64GB WiFi Cell  Apple  iPad Pros for  899 at  Amazon   50 off  free ship  ,1.33e+18,,0.6124,0.2681818181818182,0.6272727272727273,,,,,,,"['wifi cell apple', 'pros', 'amazon', 'free ship']",,no
8,2506,8, They fight in the name of Chombo  Wanted to draw a little sketch of Deku and her stand Wayward Son for  because go ,1.33e+18,,-0.3818,-0.1875,0.5,,,,,,,"['chombo wanted', 'deku', 'wayward']",,no
9,2507,8,I ve collected  126188  Who can collect more  It s a challenge    ipad  ipadgames  gameinsight,1.33e+18,,0.0772,0.5,0.5,,,,,,,"['who', 'challenge ipad ipadgames gameinsight']",,no
10,2508,8,  iOS 13 5 1 13 7 exploit to be mentioned by 08Tcw3BB at HITB CyberWeek 2020    news  tech  computer ,1.33e+18,,-0.1027,0.0,0.0,,,,,,,"['hitb cyberweek', 'news tech computer']",,no
11,2509,8,    Have you entered the iPad giveaway yet  It ends tomorrow so HURRY  Absolutely free to enter  no catch  no purchase necess ,1.33e+18,,0.5491,0.4,0.8,,,,,,,"['have', 'ipad giveaway', 'hurry absolutely', 'purchase necess']",,no
12,2510,8,   Have you entered the iPad giveaway yet  It ends tomorrow so HURRY  Absolutely free to enter  no catch  no purchase necessary  no BS    giveaway  contest  apple  ipad   ,1.33e+18,,0.328,0.2,0.9,,,,,,,"['have', 'ipad giveaway', 'hurry absolutely', 'bs', 'giveaway contest apple ipad']",,no
13,2511,8,What do you want for Christmas    All I want is for someone to fix my  ipad or get me a new 1 ,1.33e+18,,0.1531,0.13636363636363635,0.45454545454545453,,,,,,,['christmas'],,no
14,2512,8, 12 Jigglypuff   pokemon  swordandshield  crowntundra  PokemonGo  PokemonRedandBlue  isleofarmor  supersmashbros  smashbros ,1.33e+18,,0.0,0.0,0.0,,,,,,,"['jigglypuff', 'pokemon swordandshield crowntundra', 'pokemongo pokemonredandblue', 'isleofarmor supersmashbros smashbros']",,no
15,2513,8,Nova Dancer   Space opera adventure in the far future   99 cents at Apple Books    scifi  ipad  iphone    ,1.33e+18,,0.3182,0.05,0.5625,,,,,,,"['nova dancer', 'space opera adventure', 'apple', 'books scifi ipad iphone']",,no
16,2514,8, Waves at Nubble Lighthouse  iPad Case  amp  Skin by DodaPhotoArt   Redbubble  giftguide  Christmasgifts  SupportSmallBusinesses  ipad ,1.33e+18,,0.0,0.0,0.0,,,,,,,"['waves', 'nubble lighthouse', 'case', 'skin', 'dodaphotoart redbubble', 'christmasgifts supportsmallbusinesses']",,no
17,2515,8, iOS 13 5 1 13 7 exploit to be mentioned by 08Tcw3BB at HITB CyberWeek 2020    news  tech  computer  game  live  ios  jailbreak  exploit  ios  ios13  ios13 7  ipad  ipados  iphone  jailbreak  news  security  software  zecops ,1.33e+18,,0.1531,-0.13181818181818183,0.45,,,,,,,"['hitb cyberweek', 'news tech computer game', 'ios jailbreak', 'ios ios13 ios13', 'ipad ipados iphone jailbreak news security software zecops']",,no
18,2516,8,Hurray  I have finished  Striving for Luxury  task  in Big Business HD for iPad    ipad  gameinsight  ipadgames,1.33e+18,,0.5719,0.0,0.1,,,,,,,"['hurray', 'striving', 'luxury', 'big business', 'hd', 'ipad ipad gameinsight ipadgames']",,no
19,2517,8,Beautiful  well thought explanation of how  Zoom on  ipad becomes the go to tool for the clinician meeting  with a patient s family in challenging circumstances  when used properly     digitalhealth  santedigitale  hcsmeufr,1.33e+18,,0.765,0.45,0.7000000000000001,,,,,,,"['beautiful', 'zoom', 'clinician meeting', 'patient s family', 'challenging circumstances', 'digitalhealth santedigitale hcsmeufr']",,no
20,2518,8,Try premium  ipadgame Heads Up  Best Charades game   Warner Bros   via   ipadgames  ipad ,1.33e+18,,0.6369,0.3,0.35,,,,,,,"['try', 'premium ipadgame', 'heads up', 'charades', 'warner bros', 'ipadgames ipad']",,no
21,2519,8,  30  off this item today    laptop  laptops  laptopskin  ipad  ipads  ipadskin  pattern  society6 ,1.33e+18,,0.0,0.0,0.0,,,,,,,['laptop laptops laptopskin ipad ipads ipadskin pattern society6'],,no
22,2520,8, sped  teacher trying to get  DonorsChoose project funded for self contained classes  Big dreams for this  ipad to help with  reading  amp   writing  Please consider  donating or RTing Donations are currently being matched     GivingTuesday  edutwitter  donate,1.33e+18,,0.7717,0.0,0.25,,,,,,,"['donorschoose', 'big dreams', 'please', 'rting donations', 'givingtuesday', 'edutwitter donate']",,no
23,2521,8, FREE on  iPad for Kindle Unlimited Members  Read MILE HIGH DEATH  rt   G1  home  SocialMedia  giveaway  kindle ,1.33e+18,,0.368,0.28,0.6699999999999999,,,,,,,"['free', 'kindle unlimited', 'read mile high death', 'g1', 'socialmedia', 'giveaway kindle']",,no
24,2522,8, Warcraft Shadowlands and Stream Raiders   500 iPad Mini giveaway at 500 subs   Giveaway  iPadMini  iPad  Apple  pathtopartn ,1.33e+18,,0.0,0.0,0.0,,,,,,,"['warcraft shadowlands', 'stream raiders', 'mini', 'giveaway', 'ipadmini ipad', 'apple']",,no
25,2523,8, Warcraft Shadowlands and Stream Raiders   500 iPad Mini giveaway at 500 subs   Giveaway  iPadMini  iPad  Apple  pathtopar ,1.33e+18,,0.0,0.0,0.0,,,,,,,"['warcraft shadowlands', 'stream raiders', 'mini', 'giveaway', 'ipadmini ipad', 'apple']",,no
26,2524,8, Warcraft Shadowlands and Stream Raiders   500 iPad Mini giveaway at 500 subs   Giveaway  iPadMini  iPad  Apple  pathtopartn ,1.33e+18,,0.0,0.0,0.0,,,,,,,"['warcraft shadowlands', 'stream raiders', 'mini', 'giveaway', 'ipadmini ipad', 'apple']",,no
27,2525,8,Warcraft Shadowlands and Stream Raiders   500 iPad Mini giveaway at 500 subs   Giveaway  iPadMini  iPad  Apple  pathtopartner  TwitchAffilate  twitch  SupportSmallStreamers  StreamRaiders  Shadowlands  warcraft  wow  ForTheHorde  ,1.33e+18,,0.5859,0.1,1.0,,,,,,,"['warcraft shadowlands', 'stream raiders', 'mini', 'giveaway', 'ipadmini ipad', 'apple', 'twitchaffilate', 'supportsmallstreamers streamraiders shadowlands', 'warcraft wow', 'forthehorde']",,no
28,2526,8, Warcraft Shadowlands and Stream Raiders   500 iPad Mini giveaway at 500 subs   Giveaway  iPadMini  iPad  Apple  pathtopar ,1.33e+18,,0.0,0.0,0.0,,,,,,,"['warcraft shadowlands', 'stream raiders', 'mini', 'giveaway', 'ipadmini ipad', 'apple']",,no
29,2527,8,Warcraft Shadowlands and Stream Raiders   500 iPad Mini giveaway at 500 subs   Giveaway  iPadMini  iPad  Apple  pathtopartner  TwitchAffilate  twitch  SupportSmallStreamers  StreamRaiders  Shadowlands  warcraft  wow  ForTheHorde  ,1.33e+18,,0.5859,0.1,1.0,,,,,,,"['warcraft shadowlands', 'stream raiders', 'mini', 'giveaway', 'ipadmini ipad', 'apple', 'twitchaffilate', 'supportsmallstreamers streamraiders shadowlands', 'warcraft wow', 'forthehorde']",,no
30,2528,8,Just ordered an iPad Pro     I feel poorer already     iPad,1.33e+18,,-0.3612,0.0,0.0,,,,,,,['pro'],,no
31,2529,8, Mewtwo Sketch  Sketch     150 Device used   iPad  2018  and Apple Pencil 1  App  Sketches by Tayasui Sketches  Drawin ,1.33e+18,,0.0,0.0,0.0,,,,,,,"['mewtwo sketch sketch', 'device', 'apple pencil', 'app sketches', 'tayasui sketches drawin']",,no
32,2530,8,Study  June 20  2019 7  オリジナル  pixiv  パターン  2019  スケッチ  創作  習作  らくがき  procreate  iPad  ,1.33e+18,,0.0,0.0,0.0,,,,,,,"['june', 'オリジナル pixiv パターン', 'スケッチ 創作 習作 らくがき procreate ipad']",,no
33,2531,8, My new dream machine was warmly welcomed to my home  Ho ho ho  Been an iPad user since the first one debuted in this world  I ,1.33e+18,,0.7269,0.3287878787878788,0.46262626262626255,,,,,,,"['new dream machine', 'ho', 'ho ho', 'been', 'ipad user']",,no
34,2532,8,My new dream machine was warmly welcomed to my home  Ho ho ho  Been an iPad user since the first one debuted in this world  I can t survive without this lol     apple  ipadpro  ipad  christmasgift  christmas  merrychristmas  hohoho  dreammachine  t   ,1.33e+18,,0.5323,0.4465909090909091,0.521969696969697,,,,,,,"['new dream machine', 'ho', 'ho ho', 'been', 'ipad user', 'lol apple ipadpro ipad christmasgift christmas merrychristmas hohoho dreammachine t']",,no
35,2533,8,Try free  ipadgame Sushi Roll 3D   Best Food Game   SayGames LLC  via   ipadgames  ipad ,1.33e+18,,0.8176,0.3333333333333333,0.5,,,,,,,"['try', 'free ipadgame', 'sushi roll', 'game saygames llc', 'ipadgames ipad']",,no
36,2534,8, Play your PS5 directly on your iPhone  iPad  amp  Android phone s screen  using the official Sony PlayStation Remote Play app   ht ,1.33e+18,,0.5859,0.0,0.30000000000000004,,,,,,,"['ps5', 'iphone ipad amp', 'android', 'phone s screen', 'sony playstation remote', 'app ht']",,no
37,2535,8, gt Please Retweet   Win  20 000 USD in  Software and Hi Tech Swag    Includes an  iPad Air 4   a Logitech C922 Webcam   a Blue Yeti Nano Mic     Open Worldwide      webdesign  wordpress  SEO  webhostingservices  win  contest  giveaway  sweepstakes  sorteo  ,1.33e+18,,0.9001,0.4,0.35,,,,,,,"['please retweet win', 'usd', 'software', 'hi tech swag includes', 'ipad air', 'logitech c922 webcam', 'yeti nano mic', 'worldwide', 'webdesign wordpress', 'seo', 'contest giveaway sweepstakes sorteo']",,no
38,2536,8,  30  off this item today    laptop  laptops  laptopskin  ipad  ipads  ipadskin  pattern  society6 ,1.33e+18,,0.0,0.0,0.0,,,,,,,['laptop laptops laptopskin ipad ipads ipadskin pattern society6'],,no
39,2537,8, New 12  1TB WiFi Cell   Apple  iPad Pros for  1499 at B amp H   150 off  Free ship  ,1.33e+18,,0.5106,0.2681818181818182,0.6272727272727273,,,,,,,"['wifi cell apple', 'pros', 'b amp', 'free']",,no
40,2538,8, Apple iPad mini Price Tracker  real time prices and sales  ipad  apple  ipadmini ,1.33e+18,,0.0,0.2,0.30000000000000004,,,,,,,"['apple', 'ipad mini', 'price tracker', 'real time prices', 'sales ipad apple ipadmini']",,no
41,2539,8,Apple iPad mini Price Tracker  real time prices and sales  ipad  apple  ipadmini ,1.33e+18,,0.0,0.2,0.30000000000000004,,,,,,,"['apple', 'ipad mini', 'price tracker', 'real time prices', 'sales ipad apple ipadmini']",,no
42,2540,8,New 12  1TB WiFi Cell   Apple  iPad Pros for  1499 at B amp H   150 off  Free ship  ,1.33e+18,,0.5106,0.2681818181818182,0.6272727272727273,,,,,,,"['wifi cell apple', 'pros', 'b amp', 'free']",,no
43,2541,8,BMX Challenge 1 EndoWheelie by RangerXpr   Play Now    ipad  action  game,1.33e+18,,0.4019,-0.15000000000000002,0.25,,,,,,,"['bmx challenge', 'endowheelie', 'rangerxpr', 'ipad action game']",,no
44,2542,8, 12 Jigglypuff   pokemon  swordandshield  crowntundra  PokemonGo  PokemonRedandBlue  isleofarmor  supersmashbros  smashbros ,1.33e+18,,0.0,0.0,0.0,,,,,,,"['jigglypuff', 'pokemon swordandshield crowntundra', 'pokemongo pokemonredandblue', 'isleofarmor supersmashbros smashbros']",,no
45,2543,8, 12 Jigglypuff   pokemon  swordandshield  crowntundra  PokemonGo  PokemonRedandBlue  isleofarmor  supersmashbros  smashbros ,1.33e+18,,0.0,0.0,0.0,,,,,,,"['jigglypuff', 'pokemon swordandshield crowntundra', 'pokemongo pokemonredandblue', 'isleofarmor supersmashbros smashbros']",,no
46,2544,8, 12 Jigglypuff   pokemon  swordandshield  crowntundra  PokemonGo  PokemonRedandBlue  isleofarmor  supersmashbros  smashbros ,1.33e+18,,0.0,0.0,0.0,,,,,,,"['jigglypuff', 'pokemon swordandshield crowntundra', 'pokemongo pokemonredandblue', 'isleofarmor supersmashbros smashbros']",,no
47,2545,8,12 Jigglypuff   pokemon  swordandshield  crowntundra  PokemonGo  PokemonRedandBlue  isleofarmor  supersmashbros  smashbros  supersmashbrosultimate  smashbrosultimate  Nintendo  Switch  videogames  art  artoftheday  sketch  sketchoftheday  digitalart  ipad   medibangpaint ,1.33e+18,,0.0,0.0,0.0,,,,,,,"['jigglypuff', 'pokemon swordandshield crowntundra', 'pokemongo pokemonredandblue', 'isleofarmor supersmashbros smashbros supersmashbrosultimate smashbrosultimate', 'nintendo switch', 'videogames art artoftheday sketch sketchoftheday digitalart ipad medibangpaint']",,no
